
N is 16384: 

Miss : 15863, took time 88807
Miss : 15962, took time 78333
Miss : 16092, took time 496276
Miss : 16148, took time 80296
Miss : 16180, took time 80531
Miss : 16349, took time 147932
Miss : 16351, took time 79202

The average miss size is 49

N is 16384: 

Miss : 101, took time 365201
Miss : 190, took time 71467
Miss : 318, took time 83971
Miss : 531, took time 289800
Miss : 607, took time 255657
Miss : 933, took time 325294
Miss : 957, took time 268299
Miss : 1007, took time 283972
Miss : 1140, took time 277822
Miss : 1229, took time 744667
Miss : 1311, took time 349139
Miss : 1379, took time 250301
Miss : 1406, took time 440865
Miss : 1488, took time 70940
Miss : 1505, took time 407001
Miss : 1561, took time 2109185
Miss : 1739, took time 115828
Miss : 2138, took time 82096
Miss : 2233, took time 4491800
Miss : 2311, took time 1376156
Miss : 2557, took time 284369
Miss : 2606, took time 74231
Miss : 2814, took time 293093
Miss : 2850, took time 105086
Miss : 2987, took time 424763
Miss : 3411, took time 361074
Miss : 3479, took time 311937
Miss : 3553, took time 263186
Miss : 3642, took time 254944
Miss : 3674, took time 137721
Miss : 3677, took time 70651
Miss : 3763, took time 385901
Miss : 3857, took time 290899
Miss : 3898, took time 101113
Miss : 3959, took time 259229
Miss : 4048, took time 285069
Miss : 4127, took time 256976
Miss : 4177, took time 81028
Miss : 4255, took time 71009
Miss : 4288, took time 277041
Miss : 4340, took time 234967
Miss : 4357, took time 255733
Miss : 4392, took time 255563
Miss : 4525, took time 321002
Miss : 4577, took time 269826
Miss : 4703, took time 274190
Miss : 4730, took time 98456
Miss : 4805, took time 1877150
Miss : 5053, took time 69715
Miss : 5075, took time 2086498
Miss : 5192, took time 299134
Miss : 5205, took time 269186
Miss : 5280, took time 268402
Miss : 5386, took time 75303
Miss : 5405, took time 75959
Miss : 5472, took time 282096
Miss : 5702, took time 263502
Miss : 5710, took time 292574
Miss : 5716, took time 256658
Miss : 5738, took time 112177
Miss : 5751, took time 254517
Miss : 5845, took time 70072
Miss : 5914, took time 259686
Miss : 6315, took time 355984
Miss : 6411, took time 269641
Miss : 6417, took time 127965
Miss : 6608, took time 261746
Miss : 6820, took time 282228
Miss : 6916, took time 2152338
Miss : 7053, took time 267954
Miss : 7073, took time 301865
Miss : 7083, took time 267602
Miss : 7205, took time 330648
Miss : 7237, took time 89552
Miss : 7569, took time 276688
Miss : 7668, took time 252408
Miss : 7786, took time 249647
Miss : 7864, took time 253587
Miss : 7939, took time 103577
Miss : 8012, took time 245012
Miss : 8042, took time 288384
Miss : 8141, took time 382565
Miss : 8234, took time 283116
Miss : 8312, took time 360865
Miss : 8419, took time 83922
Miss : 8498, took time 300689
Miss : 8555, took time 80652
Miss : 8642, took time 262291
Miss : 8659, took time 269445
Miss : 8660, took time 287965
Miss : 8705, took time 81261
Miss : 9153, took time 261258
Miss : 9209, took time 256573
Miss : 9264, took time 5813421
Miss : 9295, took time 288719
Miss : 9298, took time 412559
Miss : 9360, took time 285274
Miss : 9413, took time 244357
Miss : 9758, took time 244745
Miss : 9832, took time 257283
Miss : 9979, took time 257315
Miss : 10015, took time 73292
Miss : 10150, took time 253681
Miss : 10155, took time 276161
Miss : 10275, took time 72659
Miss : 10302, took time 288490
Miss : 10468, took time 245242
Miss : 10502, took time 295397
Miss : 10573, took time 88523
Miss : 10594, took time 74564
Miss : 10705, took time 88062
Miss : 10786, took time 257895
Miss : 10815, took time 264483
Miss : 10878, took time 289343
Miss : 11024, took time 236713
Miss : 11063, took time 277100
Miss : 11121, took time 224692
Miss : 11131, took time 268009
Miss : 11396, took time 96370
Miss : 11455, took time 74512
Miss : 11487, took time 359857
Miss : 11511, took time 73371
Miss : 11544, took time 259294
Miss : 11765, took time 264197
Miss : 11998, took time 284712
Miss : 12009, took time 267639
Miss : 12223, took time 301094
Miss : 12228, took time 265596
Miss : 12355, took time 214545
Miss : 12422, took time 277090
Miss : 12435, took time 266994
Miss : 12472, took time 275310
Miss : 12534, took time 79175
Miss : 12661, took time 274618
Miss : 12924, took time 72138
Miss : 12997, took time 91737
Miss : 12998, took time 293625
Miss : 13002, took time 242828
Miss : 13202, took time 75286
Miss : 13217, took time 73195
Miss : 13244, took time 278239
Miss : 13398, took time 262009
Miss : 13584, took time 6215202
Miss : 13686, took time 259415
Miss : 13831, took time 334085
Miss : 14067, took time 312044
Miss : 14099, took time 225937
Miss : 14199, took time 73422
Miss : 14230, took time 460150
Miss : 14314, took time 320401
Miss : 14326, took time 75876
Miss : 14584, took time 283249
Miss : 14702, took time 282857
Miss : 14705, took time 278674
Miss : 14985, took time 278920
Miss : 15015, took time 283569
Miss : 15078, took time 268255
Miss : 15087, took time 79876
Miss : 15251, took time 258545
Miss : 15281, took time 276852
Miss : 15316, took time 100773
Miss : 15317, took time 267241
Miss : 15337, took time 82340
Miss : 15404, took time 368184
Miss : 15431, took time 300041
Miss : 15435, took time 258422
Miss : 15447, took time 296852
Miss : 15481, took time 245805
Miss : 15755, took time 265231
Miss : 15759, took time 113173
Miss : 15974, took time 250434
Miss : 16037, took time 275342
Miss : 16149, took time 253444
Miss : 16159, took time 333228
Miss : 16232, took time 244279
Miss : 16274, took time 268011

The average miss size is 92

N is 16384: 

Miss : 70, took time 75658
Miss : 99, took time 255064
Miss : 207, took time 304856
Miss : 222, took time 291207
Miss : 296, took time 274504
Miss : 402, took time 275540
Miss : 415, took time 294316
Miss : 576, took time 86686
Miss : 778, took time 70301
Miss : 831, took time 268356
Miss : 852, took time 251941
Miss : 901, took time 248912
Miss : 917, took time 234553
Miss : 931, took time 141928
Miss : 1077, took time 87602
Miss : 1171, took time 114619
Miss : 1458, took time 234525
Miss : 1574, took time 295133
Miss : 1809, took time 232270
Miss : 1813, took time 163800
Miss : 1954, took time 79785
Miss : 2020, took time 367001
Miss : 2039, took time 264865
Miss : 2060, took time 254653
Miss : 2134, took time 286775
Miss : 2277, took time 273891
Miss : 2282, took time 255871
Miss : 2286, took time 93641
Miss : 2327, took time 378112
Miss : 2379, took time 283645
Miss : 2402, took time 88679
Miss : 2613, took time 74303
Miss : 2702, took time 301371
Miss : 2708, took time 1002237
Miss : 2787, took time 283828
Miss : 2931, took time 263088
Miss : 3560, took time 263301
Miss : 3574, took time 257868
Miss : 3601, took time 253979
Miss : 3667, took time 288928
Miss : 3669, took time 75218
Miss : 3695, took time 284963
Miss : 4130, took time 277132
Miss : 4399, took time 308285
Miss : 4423, took time 275508
Miss : 4466, took time 362135
Miss : 4543, took time 305193
Miss : 4578, took time 270072
Miss : 4608, took time 279183
Miss : 4725, took time 325985
Miss : 4826, took time 287277
Miss : 4944, took time 364918
Miss : 5192, took time 282404
Miss : 5366, took time 620697
Miss : 5379, took time 309940
Miss : 5580, took time 303954
Miss : 5586, took time 255952
Miss : 5589, took time 267831
Miss : 5788, took time 70307
Miss : 5824, took time 278172
Miss : 5925, took time 341182
Miss : 5975, took time 233627
Miss : 6833, took time 259083
Miss : 6843, took time 254166
Miss : 6992, took time 115342
Miss : 7046, took time 237332
Miss : 7073, took time 90018
Miss : 7152, took time 271881
Miss : 7195, took time 267677
Miss : 7659, took time 310442
Miss : 7790, took time 270463
Miss : 7865, took time 234954
Miss : 7967, took time 233119
Miss : 8174, took time 283658
Miss : 8217, took time 336001
Miss : 8493, took time 106311
Miss : 8505, took time 380999
Miss : 8614, took time 94125
Miss : 8693, took time 274812
Miss : 8705, took time 257388
Miss : 8750, took time 270287
Miss : 8871, took time 258318
Miss : 8918, took time 70689
Miss : 9129, took time 202987
Miss : 9172, took time 388419
Miss : 9180, took time 82145
Miss : 9256, took time 270258
Miss : 9360, took time 299247
Miss : 9524, took time 281500
Miss : 9724, took time 344026
Miss : 9932, took time 253732
Miss : 10000, took time 255883
Miss : 10002, took time 70419
Miss : 10171, took time 274109
Miss : 10244, took time 280561
Miss : 10422, took time 233485
Miss : 10500, took time 265929
Miss : 10510, took time 355930
Miss : 10532, took time 295354
Miss : 10569, took time 286695
Miss : 10657, took time 270264
Miss : 10727, took time 248951
Miss : 10732, took time 263855
Miss : 10821, took time 72710
Miss : 10865, took time 299205
Miss : 10953, took time 259552
Miss : 11304, took time 232037
Miss : 11323, took time 267416
Miss : 11397, took time 70792
Miss : 11428, took time 255366
Miss : 11441, took time 491353
Miss : 11491, took time 371597
Miss : 11519, took time 270236
Miss : 11576, took time 96374
Miss : 11586, took time 264092
Miss : 11867, took time 293134
Miss : 11928, took time 85532
Miss : 12175, took time 257295
Miss : 12217, took time 257566
Miss : 12341, took time 231374
Miss : 12876, took time 288275
Miss : 12994, took time 250278
Miss : 13053, took time 71480
Miss : 13148, took time 257814
Miss : 13321, took time 84148
Miss : 13347, took time 263603
Miss : 13413, took time 74143
